"id","bilderberg_id","type","has_images","images_complete","has_placeholders","is_fragmentary","is_dare_foliated","page_count","repository_id","idno","alt_repository","content_title","content_summary","is_segmented","leaves_count","material_type","leaves_format","leaves_height","leaves_width","written_lines","written_lines_text","column_no","written_height","written_width","hand_number","contemporary_binding","binding_width","binding_height","binding_date","origin_not_before","origin_not_after","origin_date","origin_place","foliation","collation","condition_description","decoration","layout","hand_description","binding_description","acquisition","provenance","additions","gw_no","istc","vd16","edit16","i_aureliensis","content","material_description","origin","doc_editor"
1,BOOK-DARE-M-FR-PAR-BNF-lat.6301,ms,0,0,0,0,0,"0",81,lat. 6301,"",,,,,2,,,,"28","28","1",,,"0",0,,,,,,,,"","","","","","","","","","",,,,,,"","","",
2,BOOK-DARE-M-IT-MIL-AMB-N.17.sup,ms,0,0,0,0,0,"0",94,N. 17. Sup.,"",,,,,2,,,,"28","28","1",,,"0",0,,,,,,,,"","","","","","","","","","",,,,,,"","","",
3,BOOK-DARE-M-PL-KRK-BJ-554,ms,0,0,0,0,0,"0",90,"554","",Miscellany,,,"190 + II",1,,"310","210",,,"",,,"0",0,,,,"1453-01-01","1477-12-31","1453 - 1477",,"","","","","[{""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""No script on f. "", ""type"": ""text""}, {""text"": ""11r-11r"", ""type"": ""locus_multi"", ""to_page"": 0, ""to_folio"": ""11r"", ""from_page"": 0, ""from_folio"": ""11r""}]","","","","","[{""text"": ""There are some gaps within the given texts."", ""type"": ""text""}]",,,,,,"","","",
4,BOOK-DARE-M-AT-ADO-STB-480,ms,1,0,1,0,1,"0",206,"480","",Averroes-Manuscript,,,"291",2,,"272","180","28","28","2",,,"0",0,,,,"1300-01-01","1399-12-31","14th century",,"","","","[{""type"": ""section_start"", ""section_name"": ""Initial""}, {""text"": ""Large letters are drawn in red or in red and blue. The commentary always starts with a blue letter, the rest is done in red."", ""type"": ""text""}]","[{""text"": ""Text is set in two columns."", ""type"": ""text""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""null"", ""type"": ""paragraph""}]","[{""text"": ""One hand. The letters of the text by "", ""type"": ""text""}, {""text"": ""Aristotle"", ""type"": ""person"", ""person"": 72}, {""text"": "" and the commentary  by "", ""type"": ""text""}, {""text"": ""Averroes"", ""type"": ""person"", ""person"": 85}, {""text"": "" differ in size."", ""type"": ""text""}]","","","","",,,,,,"","","",
5,BOOK-DARE-M-FR-PAR-BNF-lat.6296,ms,1,1,0,0,1,"0",81,lat. 6296,"[{""idno"": ""lat. 6296"", ""repository"": null}, {""idno"": ""lat. 6296"", ""repository"": null}]",Miscellany,Corpus Recentius,,"329",2,,"350","240","32","32","2",,,"0",0,,,,"1250-01-01","1299-12-31",End of the 13th century,,"[{""text"": ""F. 129 is not signed out, but it seems to be a foliation mistake (cf. ff.  "", ""type"": ""text""}, {""text"": ""128v-128v"", ""type"": ""locus_multi"", ""to_page"": 844, ""to_folio"": ""128v"", ""from_page"": 844, ""from_folio"": ""128v""}, {""text"": "" and "", ""type"": ""text""}, {""text"": ""129r-129r"", ""type"": ""locus_multi"", ""to_page"": 845, ""to_folio"": ""129r"", ""from_page"": 845, ""from_folio"": ""129r""}, {""text"": ""). There appears to be no missing text. The DARE-counting tries to represent the correct foliation, reducing the total number of folios to 329 leaves, whereas "", ""type"": ""text""}, {""text"": ""Lacombe"", ""type"": ""person"", ""person"": 194}, {""text"": "" gives a total number of 330. "", ""type"": ""text""}]","","","[{""type"": ""section_start"", ""section_name"": ""Title""}, {""text"": ""Titles are written on top of the pages and coloured in black and blue."", ""type"": ""text""}, {""type"": ""section_start"", ""section_name"": ""Initial""}, {""text"": ""Initials depicted in gold and various colours, ornated with ramifications, elongations extend into the margins."", ""type"": ""text""}, {""type"": ""section_start"", ""section_name"": ""Picture""}, {""text"": ""On f.  "", ""type"": ""text""}, {""text"": ""217v-217v"", ""type"": ""locus_multi"", ""to_page"": 1022, ""to_folio"": ""217v"", ""from_page"": 1022, ""from_folio"": ""217v""}, {""text"": "" we can see a drawing of a zonal map. On f.  "", ""type"": ""text""}, {""text"": ""224r-224r"", ""type"": ""locus_multi"", ""to_page"": 1035, ""to_folio"": ""224r"", ""from_page"": 1035, ""from_folio"": ""224r""}, {""text"": "" we can see a drawing of a total lunar eclipse. On f.  "", ""type"": ""text""}, {""text"": ""225v-225v"", ""type"": ""locus_multi"", ""to_page"": 1038, ""to_folio"": ""225v"", ""from_page"": 1038, ""from_folio"": ""225v""}, {""text"": "" we can see two drawings of the rainbow and its colours. Two explanatory drawings for the optical aspects of the formation of a rainbow can be found in ff. "", ""type"": ""text""}, {""text"": ""226r-226r"", ""type"": ""locus_multi"", ""to_page"": 1039, ""to_folio"": ""226r"", ""from_page"": 1039, ""from_folio"": ""226r""}, {""text"": ""  and "", ""type"": ""text""}, {""text"": ""227r-227r"", ""type"": ""locus_multi"", ""to_page"": 1041, ""to_folio"": ""227r"", ""from_page"": 1041, ""from_folio"": ""227r""}, {""text"": "". "", ""type"": ""text""}]","[{""text"": ""Text is set in two columns."", ""type"": ""text""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""32"", ""type"": ""text""}, {""text"": "" lines to the page in ff.  "", ""type"": ""text""}, {""text"": ""3r-297v"", ""type"": ""locus_multi"", ""to_page"": 1182, ""to_folio"": ""297v"", ""from_page"": 593, ""from_folio"": ""3r""}, {""text"": "". "", ""type"": ""text""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""About "", ""type"": ""text""}, {""text"": ""40"", ""type"": ""text""}, {""text"": "" lines to the page in ff.  "", ""type"": ""text""}, {""text"": ""300r-307v"", ""type"": ""locus_multi"", ""to_page"": 1202, ""to_folio"": ""307v"", ""from_page"": 1187, ""from_folio"": ""300r""}, {""text"": "". Initial lines of a paragraph written in normal script, the subsequent corpus in a smaller script. "", ""type"": ""text""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""32"", ""type"": ""text""}, {""text"": "" lines to the page in ff.  "", ""type"": ""text""}, {""text"": ""307v-326v"", ""type"": ""locus_multi"", ""to_page"": 1240, ""to_folio"": ""326v"", ""from_page"": 1202, ""from_folio"": ""307v""}, {""text"": "". "", ""type"": ""text""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""Ff.  "", ""type"": ""text""}, {""text"": ""83v-83v"", ""type"": ""locus_multi"", ""to_page"": 754, ""to_folio"": ""83v"", ""from_page"": 754, ""from_folio"": ""83v""}, {""text"": "" and  "", ""type"": ""text""}, {""text"": ""298r-299v"", ""type"": ""locus_multi"", ""to_page"": 1186, ""to_folio"": ""299v"", ""from_page"": 1183, ""from_folio"": ""298r""}, {""text"": ""  are without script. "", ""type"": ""text""}]","[{""text"": ""Text is written by one Gallic hand in black."", ""type"": ""text""}]","","","[{""text"": ""On f. "", ""type"": ""text""}, {""text"": ""3r-3r"", ""type"": ""locus_multi"", ""to_page"": 593, ""to_folio"": ""3r"", ""from_page"": 593, ""from_folio"": ""3r""}, {""text"": "" we can see that the signature of the codex was once Colbertinus 1064, then Regius 4957/3A."", ""type"": ""text""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""On f.  "", ""type"": ""text""}, {""text"": ""328v-328v"", ""type"": ""locus_multi"", ""to_page"": 1244, ""to_folio"": ""328v"", ""from_page"": 1244, ""from_folio"": ""328v""}, {""text"": "" one can find: \""Liber Beate Marie de Noa [= La Noe, monasterium cisterciense, "", ""type"": ""text""}, {""text"": ""Lacombe"", ""type"": ""person"", ""person"": 194}, {""text"": ""], Ebroycensis diocesis\"", and further on: \"" ... custodit frater Robertus monachus ejusdem domus commorans in sancto Bernardo Parisius\"".  "", ""type"": ""text""}]","[{""text"": ""Few annotations."", ""type"": ""text""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""No emendations."", ""type"": ""text""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""On f.  "", ""type"": ""text""}, {""text"": ""2v-2v"", ""type"": ""locus_multi"", ""to_page"": 592, ""to_folio"": ""2v"", ""from_page"": 592, ""from_folio"": ""2v""}, {""text"": ""  one can find a table of contents, the last text (De Substantia Orbis) is added on the right margin. "", ""type"": ""text""}]",,,,,,"","","",
6,BOOK-DARE-M-IT-FLR-BNC-Conv.Soppr.I.4.23,ms,1,0,0,1,0,"0",127,Conv. Soppr. I. 4. 23,"",Miscellany,,,"135",2,,"310","225","32","32","2",,,"0",0,,,,"1200-01-01","1399-12-31","13th / 14th century",,"","","","[{""type"": ""section_start"", ""section_name"": ""Title""}, {""text"": ""Titles in red.  "", ""type"": ""text""}, {""type"": ""section_start"", ""section_name"": ""Initial""}, {""text"": ""Initials in diffrerent colours and with further decoration.  "", ""type"": ""text""}]","[{""text"": ""Text is set in two columns."", ""type"": ""text""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""32"", ""type"": ""text""}, {""text"": "" lines to the page. "", ""type"": ""text""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""Averroes"", ""type"": ""person"", ""person"": 85}, {""text"": ""' Long Commentary on  "", ""type"": ""text""}, {""text"": ""Aristotle"", ""type"": ""person"", ""person"": 72}, {""text"": ""'s Physics:  The textus/commentary parts are separated only by initials. "", ""type"": ""text""}]","[{""text"": ""Different hands."", ""type"": ""text""}]","","","","[{""text"": ""There are many glosses in the margins and between the lines, especially in the beginning of each book,  but as it seems with little impact. "", ""type"": ""text""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""A note in De Generatione (f. "", ""type"": ""text""}, {""text"": ""91r-91r"", ""type"": ""locus_multi"", ""to_page"": 0, ""to_folio"": ""91r"", ""from_page"": 0, ""from_folio"": ""91r""}, {""text"": ""): Alia translatio. Oportet nos determinare de esse generationis et corruptionis secundum cursum naturalem (this is the transl. Cremonensis).  Vel sic: ita dictum in libro celi et mundi de corruptione simplici mobili secundum quod ad renovationem situs determintur sive ad motum localem et hoc  primo (sic) quidem motus nichil variatur in substantia mobili... "", ""type"": ""text""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""Only some rare notes in De Anima. "", ""type"": ""text""}]",,,,,,"","","",
7,BOOK-DARE-M-VA-VAT-BAV-Vat.lat.2434,ms,1,1,0,0,1,"0",1,Vat. lat. 2434,"",,,,,2,,,,"28","28","1",,,"0",0,,,,,,,,"","","","","","","","","","",,,,,,"","","",
8,BOOK-DARE-M-RU-LED-PPL-Class.lat.Q.3,ms,0,0,0,0,0,"0",87,Class. lat. Q. 3,"",,,,,2,,,,"28","28","1",,,"0",0,,,,,,,,"","","","","","","","","","",,,,,,"","","",
9,BOOK-DARE-M-VA-VAT-BAV-Pal.lat.1255,ms,1,1,0,0,1,"0",1,Pal. lat. 1255,"",,,,,2,,,,"28","28","1",,,"0",0,,,,,,,,"","","","","","","","","","",,,,,,"","","",
10,BOOK-DARE-M-BE-LEU-KUL-1515,ms,1,1,0,0,1,"0",215,"1515","","Averroes, Parva Naturalia-Fragment",,,"1",2,,,,"28","28","1",,,"0",0,,,,,,,,"","","[{""text"": ""A fragment of a folio. Just a part from a column, but once the folio had two columns. "", ""type"": ""text""}]","","[{""text"": ""Text is set in "", ""type"": ""text""}, {""text"": ""1"", ""type"": ""text""}, {""text"": "" column. "", ""type"": ""text""}, {""text"": ""null"", ""type"": ""paragraph""}, {""text"": ""null"", ""type"": ""paragraph""}]","","","","","",,,,,,"","","",
